Name,Area,Pop1990,Pop1997,Pop90.sqmi,Households,Males,Females,White,Black,Ameri.es,Asian.pi,Other,Hispanic,Age.under5,Age.5.17,Age.18.29,Age.30.49,Age.50.64,Age.65.up,Nevermarry,Married,Separated,Widowed,Divorced,Hsehld.1.m,Hsehld.1.f,Marhh.chd,Marhh.no.c,Mhh.child,Fhh.child,Hse.units,Vacant,Owner.occ,Renter.occ,Median.val,Medianrent,Units.1det,Units.1att,Units2,Units3.9,Units10.49,Units50.up,Mobilehome,No.farms87,Avg.size87,Crop.acr87,Avg.sale87,Longitude,Latitude,X,Y
Baker,8025.8983,15317,16527,5,6118,7633,7684,15024,30,147,52,64,276,1024,2990,1811,4180,2426,2886,1875,7701,187,1081,1098,689,900,1586,2141,89,289,7525,1407,4210,1908,42100,209,5432,64,162,287,154,0,1376,621,1480,152074,65631,-117.6513,44.66119,580.33555,322.46767
Benton,1767.6356,70811,76605,104,26126,35818,34993,65116,606,553,3891,645,1735,4355,11415,20383,20630,7199,6829,21129,28788,663,2614,4282,2948,3646,6536,7297,347,1327,27024,898,14392,11734,72900,330,15570,1259,1200,3021,2957,626,2158,645,193,81454,48786,-123.44576,44.49134,123.57205,278.01889
Clackamas,4880.6198,278850,329251,148,103530,136996,141854,268479,1134,1971,4827,2439,7129,19394,55009,41145,94447,36866,31989,44656,134953,3454,12523,20969,8560,12704,31305,33860,1840,5652,109003,5473,74207,29323,85100,404,76191,2498,2231,6928,7225,2462,10601,3175,51,98884,37654,-122.26332,45.16542,215.15882,355.95944
Clatsop,2115.3006,33301,35287,41,13374,16534,16767,32118,114,373,443,253,648,2298,6262,4965,9778,4594,5404,5343,15299,497,2193,2773,1632,2118,3257,4136,276,793,17367,3993,8459,4915,62500,288,11581,344,853,1731,930,320,1397,237,109,14189,35695,-123.67748,46.00232,102.74826,445.64145
Columbia,1813.6643,37557,43645,54,13910,18787,18770,36539,42,511,284,181,684,2793,8003,5146,11842,5053,4720,5332,18192,469,1877,2680,1400,1561,4276,4575,313,769,14576,666,10314,3596,62800,280,10242,136,457,611,402,0,2519,695,106,30767,12603,-123.0627,45.94897,150.27646,440.63192
Coos,4213.1931,60273,63235,37,24134,29754,30519,57787,144,1401,577,364,1353,3852,11283,8054,17057,9611,10416,8238,29263,1007,3868,5246,2667,3281,5636,8416,527,1623,26668,2534,16041,8093,49800,265,17768,417,927,1629,940,76,4642,736,222,41920,30422,-124.09552,43.13895,73.61273,126.95269
Crook,7766.2216,14111,16891,5,5455,7074,7037,13637,11,221,47,195,388,1024,2840,1979,3950,2074,2244,1732,7177,138,796,1038,542,695,1573,1912,124,258,6066,611,3897,1558,50300,263,3896,72,113,222,126,0,1565,415,2074,84289,55906,-120.37983,44.12401,369.56016,246.65156
Curry,4296.4536,19327,21230,12,8311,9550,9777,18626,31,462,122,86,354,1084,2906,2022,4987,3605,4723,2034,10697,281,1316,1605,974,1057,1601,3564,155,335,9885,1574,6026,2285,83400,316,5194,192,343,400,271,0,3324,160,497,8606,44237,-124.1434,42.47437,70.08827,53.09673
Deschutes,7917.8699,74958,101221,25,29217,37334,37624,73343,85,648,444,438,1526,5185,14140,10517,24295,10423,10398,10652,37407,1070,3471,6033,2769,3360,7949,10211,559,1629,35928,6711,20734,8483,74500,364,23736,970,690,1551,1265,157,7342,884,172,41294,16805,-121.40349,43.99617,288.59,227.674
Douglas,13146.8378,94649,101921,19,35872,46870,47779,91718,143,1479,673,636,2225,6691,18769,13245,26977,14404,14563,13019,46282,1482,5286,7357,3303,4398,9775,12490,792,2305,38298,2426,24709,11163,56000,281,24217,682,1173,1887,1133,152,8690,1753,250,115353,15115,-123.1043,43.31826,153.76518,147.41865
