"","lngitude","latitude","pollinator"
"175",-118.795415,34.74800487,"synthetica"
"367",-118.5104455,34.77325495,"synthetica"
"377",-118.4850455,34.75515495,"synthetica"
"177",-118.3697126,34.77550732,"synthetica"
"169",-118.3521005,35.03059026,"synthetica"
"178",-118.3119058,34.77632003,"synthetica"
"166",-118.3080708,34.97462479,"synthetica"
"168",-118.3459672,35.01358564,"synthetica"
"172",-118.2910708,34.87120963,"synthetica"
"170",-118.291569,34.93162605,"synthetica"
"164",-118.2598505,34.95096587,"synthetica"
"158",-118.2993397,35.09799375,"synthetica"
"157",-118.2791802,35.10279977,"synthetica"
"141",-118.25321,35.61643039,"synthetica"
"163",-118.2270314,34.95088397,"synthetica"
"155",-118.2190419,35.11813505,"synthetica"
"126",-118.215755,35.39196755,"synthetica"
"128",-118.2277761,35.44526363,"synthetica"
"131",-118.2230358,35.47470682,"synthetica"
"137",-118.203567,35.50738191,"synthetica"
"139",-118.2424569,35.56441464,"synthetica"
"161",-118.160603,34.96173267,"synthetica"
"160",-118.1614693,35.01069036,"synthetica"
"159",-118.181524,35.08085066,"synthetica"
"153",-118.1730676,35.12371505,"synthetica"
"124",-118.1548674,35.37143717,"synthetica"
"142",-118.1915884,35.69566435,"synthetica"
"143",-118.1703909,35.72158656,"synthetica"
"380",-118.1274455,34.54412161,"synthetica"
"179",-118.1218158,34.60181501,"synthetica"
"150",-118.1183368,35.1254237,"synthetica"
"119",-118.1093666,35.31591427,"synthetica"
"122",-118.1167021,35.37271172,"synthetica"
"381",-118.0532288,34.58028828,"synthetica"
"180",-118.0688366,34.60213914,"synthetica"
"149",-118.0830635,35.17778872,"synthetica"
"148",-118.0636507,35.20263469,"synthetica"
"145",-118.0596824,35.69860447,"synthetica"
"144",-118.0931716,35.74860252,"synthetica"
"384",-118.0467071,34.57937095,"synthetica"
"181",-118.0462385,34.60201844,"synthetica"
"3",-118.0419244,34.91756937,"synthetica"
"471",-118.0047289,35.65050507,"synthetica"
"100",-118.0131826,37.17775825,"synthetica"
"389",-117.9747371,34.52158095,"synthetica"
"184",-117.9786485,34.63124772,"synthetica"
"186",-117.9697398,34.69132753,"synthetica"
"188",-117.9586932,34.73421974,"synthetica"
"2",-117.9841391,34.90812414,"synthetica"
"117",-117.9788555,35.42448514,"synthetica"
"115",-117.9533436,35.49106344,"synthetica"
"147",-117.9545464,35.62376581,"synthetica"
"112",-117.9743156,36.13729761,"synthetica"
"111",-117.9791516,36.19517457,"synthetica"
"110",-117.982271,36.23191932,"synthetica"
"109",-117.9927176,36.2543125,"synthetica"
"101",-117.998888,37.19053999,"synthetica"
"104",-117.9534138,37.23054597,"synthetica"
"401",-117.9296606,34.51361226,"synthetica"
"189",-117.9460398,34.70477085,"synthetica"
"9",-117.9309502,34.94580129,"synthetica"
"114",-117.9294284,35.98999312,"synthetica"
"113",-117.9354167,36.00605335,"synthetica"
"577",-117.9335623,36.21012181,"synthetica"
"105",-117.9474605,37.23565441,"synthetica"
"106",-117.9293148,37.25480697,"synthetica"
"418",-117.8556501,34.50635696,"synthetica"
"205",-117.8714413,34.59628656,"synthetica"
"204",-117.8676763,34.61656992,"synthetica"
"191",-117.8806969,34.71979868,"synthetica"
"193",-117.8805915,34.76380149,"synthetica"
"591",-117.8626149,36.23693605,"synthetica"
